index,cwe_sampled,ground_truth,roberta_label,roberta_confidence,codellama_agreement,deepseek_agreement,codellama_verdict,deepseek_verdict,llm_agreement,gemini_judge_verdict,final_verdict,correct,remediation_provided,latency_s,error
1,CWE-416,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,90.41,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
2,CWE-401,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,106.18,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
3,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,66.37,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
4,CWE-362,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,44.82,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
5,CWE-415,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,77.98,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
6,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,49.38,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
7,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,41.98,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
8,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,193.39,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
9,CWE-200,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,991.35,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
10,CWE-415,vulnerable,non-vulnerable,0.5808,agrees,agrees,non-vulnerable,non-vulnerable,True,,non-vulnerable,False,True,231.93,
11,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,48.9,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
12,CWE-476,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,491.51,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
13,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,61.46,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
14,CWE-415,vulnerable,non-vulnerable,0.5808,agrees,agrees,non-vulnerable,non-vulnerable,True,,non-vulnerable,False,False,536.34,
15,CWE-20,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,47.96,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
16,CWE-190,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,62.51,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
17,CWE-401,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,49.48,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
18,CWE-399,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,85.64,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
19,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,46.15,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
20,CWE-415,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,90.42,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
21,CWE-200,vulnerable,non-vulnerable,0.5808,agrees,agrees,non-vulnerable,non-vulnerable,True,,non-vulnerable,False,True,36.96,
22,CWE-200,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,76.31,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
23,CWE-399,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,49.28,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
24,CWE-416,vulnerable,non-vulnerable,0.5808,agrees,agrees,non-vulnerable,non-vulnerable,True,,non-vulnerable,False,False,53.34,
25,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,57.37,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
26,CWE-401,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,480.09,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
27,CWE-399,vulnerable,non-vulnerable,0.5808,agrees,agrees,non-vulnerable,non-vulnerable,True,,non-vulnerable,False,False,1029.74,
28,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,58.49,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
29,CWE-119,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,110.96,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
30,CWE-787,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,72.83,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
31,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,53.03,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
32,CWE-787,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,85.16,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
33,CWE-399,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,69.24,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
34,CWE-787,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,61.91,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
35,CWE-476,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,90.89,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
36,CWE-20,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,26.69,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
37,CWE-200,vulnerable,non-vulnerable,0.5808,agrees,agrees,non-vulnerable,non-vulnerable,True,,non-vulnerable,False,False,33.0,
38,CWE-401,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,70.38,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
39,CWE-125,vulnerable,non-vulnerable,0.5808,disagrees,disagrees,vulnerable,vulnerable,True,,vulnerable,True,False,96.49,
40,CWE-399,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,121.31,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
41,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,55.05,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
42,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,64.4,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
43,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,60.1,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
44,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,56.19,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
45,CWE-119,vulnerable,non-vulnerable,0.5808,disagrees,disagrees,vulnerable,vulnerable,True,,vulnerable,True,True,83.35,
46,CWE-476,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,122.14,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
47,CWE-200,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,71.26,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
48,CWE-119,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,100.35,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
49,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,64.88,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
50,CWE-401,vulnerable,non-vulnerable,0.5808,agrees,agrees,non-vulnerable,non-vulnerable,True,,non-vulnerable,False,False,962.95,
51,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,51.94,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
52,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,57.85,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
53,NONE,non-vulnerable,non-vulnerable,0.5808,agrees,agrees,non-vulnerable,non-vulnerable,True,,non-vulnerable,True,False,26.84,
54,CWE-416,vulnerable,non-vulnerable,0.5808,agrees,agrees,non-vulnerable,non-vulnerable,True,,non-vulnerable,False,False,24.8,
55,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,124.27,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
56,CWE-20,vulnerable,non-vulnerable,0.5808,agrees,agrees,non-vulnerable,non-vulnerable,True,,non-vulnerable,False,False,23.77,
57,CWE-399,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,62.63,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
58,CWE-190,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,58.94,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
59,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,89.71,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
60,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,41.79,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
61,CWE-416,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,65.06,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
62,CWE-415,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,54.27,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
63,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,50.16,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
64,CWE-200,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,60.96,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
65,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,72.57,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
66,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,56.41,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
67,CWE-20,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,48.0,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
68,NONE,non-vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,31.1,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
69,NO_CWE,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,60.94,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
70,CWE-125,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,66.27,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
71,CWE-401,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,47.63,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
72,CWE-190,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,97.31,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
73,CWE-362,vulnerable,non-vulnerable,0.5808,disagrees,agrees,vulnerable,non-vulnerable,False,,,,,87.56,404 Client Error: Not Found for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:generateContent?key=AIzaSyDPCDb-7_XKbvJSTESLn7RqFltcZpD1Ryo
